iter	RMSE
0	1.171984536
1	1.154774195
2	1.139378079
3	1.130767178
4	1.124718641
5	1.118854284
6	1.110724196
7	1.106085238
8	1.101420181
9	1.098169354
10	1.092655858
11	1.087772898
12	1.082955469
13	1.080322074
14	1.076266253
15	1.071968533
16	1.06646841
17	1.061248143
18	1.054027632
19	1.048909759
20	1.044593665
21	1.034358765
22	1.029954847
23	1.025443506
24	1.019392897
25	1.012478881
26	1.007326683
27	1.000079522
28	0.9955806025
29	0.9868031645
30	0.9813194523
31	0.9741316568
32	0.9688833821
33	0.9666685536
34	0.9622194037
35	0.9544001943
36	0.9500676966
37	0.9438557991
38	0.9380484697
39	0.9312114634
40	0.9270967969
41	0.9236766995
42	0.9184332662
43	0.912896143
44	0.9082705795
45	0.9052865814
46	0.9006502576
47	0.8951949599
48	0.8893444679
49	0.8853166198
